#,Team,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace
1,Milwaukee,.623,.601,168.3,24.9,81.6,54.2,59.8,13.5,8.6,8.5,1.4,86.0,120.7,107.6,13.1,830.1,103.8
2,L.A. Lakers,.587,.559,165.2,23.5,81.2,54.1,59.8,13.9,6.6,10.5,1.3,77.6,113.5,103.6,9.9,804.1,100.5
3,Philadelphia,.594,.561,162.3,20.5,79.4,52.2,63.5,15.1,8.8,12.6,1.3,78.4,111.4,102.9,8.5,823.7,103.0
4,Brooklyn,.600,.560,167.7,20.9,73.3,49.2,59.1,13.9,7.3,10.1,1.3,77.6,114.4,106.5,7.9,836.0,103.2
5,Phoenix,.593,.557,169.8,19.1,80.1,49.7,65.3,12.8,5.5,8.3,1.3,70.1,114.3,106.6,7.7,768.2,96.0
6,Indiana,.587,.560,161.0,17.1,77.4,47.9,61.6,12.4,9.9,10.2,1.3,74.2,112.7,106.1,6.6,814.5,100.5
7,Atlanta,.574,.530,162.8,25.7,77.5,52.4,61.8,13.2,5.8,6.3,1.3,72.1,114.0,109.8,4.2,808.5,101.1
8,Orlando,.541,.499,160.8,24.6,79.9,51.3,52.9,11.6,7.8,5.7,1.2,68.4,108.8,104.9,4.0,808.6,101.1
9,Dallas,.563,.521,153.3,19.0,79.3,49.1,57.2,12.2,8.4,6.5,1.3,64.4,109.2,106.6,2.6,690.7,98.7
10,L.A. Clippers,.592,.553,172.4,21.9,78.0,50.3,61.6,13.4,7.2,10.4,1.3,70.0,114.2,112.2,2.1,870.9,96.8
11,New Orleans,.543,.507,147.1,25.9,85.3,55.7,57.8,14.3,8.7,9.3,1.2,67.9,106.4,104.7,1.6,802.9,99.1
12,Boston,.577,.549,162.8,26.2,78.7,51.9,54.8,13.4,8.9,12.6,1.3,73.5,113.2,112.2,1.0,895.6,99.5
13,Denver,.597,.565,159.8,24.6,76.0,50.9,65.2,13.5,7.1,8.7,1.4,73.8,116.5,115.5,1.0,702.9,98.9
14,New York,.556,.523,159.0,23.5,77.0,51.6,59.4,15.3,7.4,9.8,1.2,65.5,106.1,106.2,-0.1,787.2,98.4
15,Utah,.555,.530,152.1,25.7,80.1,53.4,54.1,14.0,5.4,8.6,1.2,68.0,109.0,110.8,-1.8,796.2,99.5
16,Miami,.589,.554,160.4,14.0,77.2,48.0,68.2,16.5,7.8,7.0,1.3,66.1,105.4,107.3,-1.9,701.8,100.3
17,Cleveland,.527,.502,146.9,24.7,74.9,49.2,63.2,14.2,10.7,9.6,1.2,65.1,102.3,104.2,-1.9,806.5,98.3
18,Washington,.582,.548,160.5,19.8,80.5,48.9,64.0,12.5,6.9,6.5,1.3,73.1,113.2,115.2,-2.0,853.5,106.7
19,Charlotte,.537,.504,150.7,21.6,77.1,47.6,74.4,13.6,9.1,10.7,1.2,70.8,104.4,107.7,-3.3,817.0,102.1
20,San Antonio,.545,.516,160.9,18.9,79.2,47.8,62.0,10.5,7.0,9.6,1.2,73.8,108.6,111.9,-3.3,718.2,102.6
21,Portland,.556,.519,158.2,17.7,79.6,47.7,54.8,10.2,7.8,7.5,1.2,68.3,110.9,114.5,-3.6,722.1,101.6
22,Houston,.585,.542,157.1,16.9,75.3,47.0,55.1,13.8,7.3,11.5,1.3,66.8,108.9,112.9,-3.9,613.2,100.5
23,Toronto,.546,.506,155.1,19.0,75.8,46.2,60.9,12.9,8.6,11.4,1.2,64.6,105.1,109.8,-4.6,714.2,102.0
24,Golden State,.557,.512,158.3,16.4,76.3,46.3,60.4,12.2,6.8,11.5,1.3,68.3,107.2,111.9,-4.7,854.4,106.8
25,Sacramento,.549,.510,153.6,25.4,80.8,51.1,56.6,11.9,6.3,9.3,1.2,67.6,110.0,114.8,-4.8,819.8,101.2
26,Memphis,.527,.497,153.1,21.8,77.1,49.2,60.8,12.9,8.2,8.5,1.1,67.0,103.9,109.0,-5.1,720.2,101.4
27,Chicago,.577,.535,162.4,20.6,79.5,50.5,59.2,15.1,7.0,7.7,1.3,67.8,109.0,114.3,-5.3,949.4,105.5
28,Detroit,.539,.500,157.2,23.5,80.1,49.2,59.8,11.6,7.4,8.5,1.2,65.8,108.1,115.5,-7.4,825.1,100.5
29,Oklahoma City,.545,.519,146.3,15.2,77.4,46.8,61.5,15.2,6.9,8.3,1.2,62.2,100.7,109.3,-8.6,709.2,101.3
30,Minnesota,.533,.503,149.7,24.6,75.4,47.9,57.0,12.6,8.4,9.0,1.2,64.2,105.2,117.4,-12.2,715.6,102.2
