Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Toronto Maple Leafs,28.8,8,6,2,0,12,.750,26,22,0,0,0.35,-0.16,6.00,16,15,10,24,41.67,6,30,80.00,0,1,10.1,7.1,243,10.7,216,.898,0
2,Vegas Golden Knights,29.0,7,5,1,1,11,.786,23,16,0,1,0.60,-0.25,5.57,19,11,3,26,11.54,4,25,84.00,1,1,7.9,8.1,223,10.3,166,.904,1
3,Washington Capitals,30.0,7,4,0,3,11,.786,24,21,1,2,0.19,-0.10,6.43,19,14,5,14,35.71,6,26,76.92,0,1,8.4,5.4,198,12.1,223,.906,0
4,Winnipeg Jets,27.9,7,5,2,0,10,.714,28,21,0,0,0.26,-0.74,7.00,22,15,6,30,20.00,6,19,68.42,0,0,8.6,11.7,228,12.3,219,.904,0
5,Montreal Canadiens,28.6,6,4,0,2,10,.833,29,17,0,1,1.56,-0.27,7.67,19,10,6,23,26.09,6,28,78.57,4,1,13.3,12.7,213,13.6,165,.897,0
6,St. Louis Blues,28.3,7,4,2,1,9,.643,21,26,1,1,-0.60,0.11,6.71,19,15,2,23,8.70,11,36,69.44,0,0,11.6,7.9,195,10.8,233,.888,0
7,Philadelphia Flyers,27.1,7,4,2,1,9,.643,25,24,0,1,0.14,0.14,7.00,18,16,7,24,29.17,8,23,65.22,0,0,6.6,6.9,173,14.5,239,.900,1
8,Boston Bruins,28.8,6,4,1,1,9,.750,16,12,2,0,0.92,-0.08,4.67,7,10,7,20,35.00,2,26,92.31,2,0,10.2,8.2,197,8.1,143,.916,0
9,Pittsburgh Penguins,28.4,7,4,2,1,9,.643,21,26,2,0,-0.40,0.03,6.71,15,19,5,24,20.83,6,24,75.00,1,1,6.9,6.9,201,10.4,192,.865,0
10,Anaheim Ducks,28.5,7,3,2,2,8,.571,12,14,0,0,0.11,0.39,3.71,12,11,0,16,0.00,2,22,90.91,0,1,6.6,4.9,172,7.0,224,.938,2
