Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,2019-10-03,1,28-289,TBL,,FLA,W,0,1,1,-1,2,0,0,0,0,1,0,0,1,0.0,22,21:30,1,2,0,0,
2,2019-10-05,2,28-291,TBL,@,FLA,L,0,1,1,-1,0,0,0,0,0,1,0,0,0,,24,23:25,1,0,0,0,
3,2019-10-06,3,28-292,TBL,@,CAR,L-OT,0,1,1,-1,2,0,0,0,0,1,0,0,1,0.0,26,22:03,1,4,0,0,
4,2019-10-10,4,28-296,TBL,@,TOR,W,0,1,1,0,2,0,0,0,0,0,1,0,1,0.0,25,23:50,2,3,0,0,
5,2019-10-12,5,28-298,TBL,@,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,24:47,4,2,0,0,
6,2019-10-15,6,28-301,TBL,@,MTL,W,0,1,1,0,2,0,0,0,0,0,1,0,1,0.0,23,19:20,0,2,0,0,
7,2019-10-17,7,28-303,TBL,@,BOS,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,33,27:10,3,3,0,0,
8,2019-10-19,8,28-305,TBL,,COL,L,1,0,1,0,5,1,0,0,0,0,0,0,2,50.0,25,22:59,1,0,0,0,
9,2019-10-23,9,28-309,TBL,,PIT,W,1,0,1,0,0,0,1,0,1,0,0,0,3,33.3,26,23:22,2,1,0,0,
10,2019-10-26,10,28-312,TBL,,NSH,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,29,23:10,1,1,0,0,
11,2019-10-29,11,28-315,TBL,@,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:37,0,0,0,0,
12,2019-11-08,12,28-325,TBL,@,BUF,W,0,1,1,1,0,0,0,0,0,0,1,0,2,0.0,28,25:47,0,1,0,0,
13,2019-11-09,13,28-326,TBL,,BUF,W,1,0,1,-1,0,0,1,0,0,0,0,0,4,25.0,25,21:52,0,3,0,0,
14,2019-11-14,14,28-331,TBL,,NYR,W,0,3,3,0,0,0,0,0,0,0,3,0,6,0.0,27,23:23,1,1,0,0,
15,2019-11-16,15,28-333,TBL,,WPG,L,1,1,2,1,0,1,0,0,0,1,0,0,5,20.0,26,24:34,1,2,0,0,
16,2019-11-19,16,28-336,TBL,@,STL,L,0,1,1,-1,2,0,0,0,0,1,0,0,2,0.0,28,24:49,1,2,0,0,
17,2019-11-21,17,28-338,TBL,@,CHI,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,23,20:44,0,1,0,0,
18,2019-11-23,18,28-340,TBL,,ANA,W,0,2,2,-1,0,0,0,0,0,0,2,0,1,0.0,24,19:13,1,2,0,0,
19,2019-11-25,19,28-342,TBL,,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,24,20:57,1,2,0,0,
20,2019-11-27,20,28-344,TBL,,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,23:39,1,0,0,0,
