Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,2019-10-02,1,34-015,WSH,@,STL,W,1,0,1,0,0,1,0,0,0,0,0,0,5,20.0,24,23:50,2,0,0,0,
2,2019-10-04,2,34-017,WSH,@,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,20:08,4,0,0,0,
3,2019-10-05,3,34-018,WSH,,CAR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,7,0.0,25,22:53,0,0,0,0,
4,2019-10-08,4,34-021,WSH,,DAL,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,6,0.0,22,23:43,2,0,0,0,
5,2019-10-10,5,34-023,WSH,@,NSH,L,2,0,2,-1,0,0,2,0,0,0,0,0,2,100.0,21,19:45,2,0,0,0,
6,2019-10-12,6,34-025,WSH,@,DAL,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,21,17:11,1,3,0,0,
7,2019-10-14,7,34-027,WSH,,COL,L,1,1,2,0,2,1,0,0,0,1,0,0,6,16.7,24,21:42,2,0,0,0,
8,2019-10-16,8,34-029,WSH,,TOR,W,0,1,1,-1,0,0,0,0,0,0,1,0,2,0.0,19,21:41,6,0,0,0,
9,2019-10-18,9,34-031,WSH,,NYR,W,0,1,1,1,0,0,0,0,0,1,0,0,8,0.0,21,21:20,2,0,0,0,
10,2019-10-20,10,34-033,WSH,@,CHI,W,1,0,1,0,0,1,0,0,0,0,0,0,5,20.0,23,17:24,7,1,0,0,
11,2019-10-22,11,34-035,WSH,@,CGY,W,1,1,2,2,2,1,0,0,0,1,0,0,5,20.0,19,19:40,2,0,0,0,
12,2019-10-24,12,34-037,WSH,@,EDM,L-OT,2,0,2,-2,2,1,1,0,0,0,0,0,9,22.2,24,22:39,2,0,0,0,
13,2019-10-25,13,34-038,WSH,@,VAN,W,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,18,20:50,3,0,0,0,
14,2019-10-29,14,34-042,WSH,@,TOR,W,2,2,4,1,2,1,1,0,1,1,1,0,10,20.0,23,25:53,0,0,0,0,
15,2019-11-01,15,34-045,WSH,,BUF,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,20,18:12,1,1,0,0,
16,2019-11-03,16,34-047,WSH,,CGY,W,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,18,19:15,3,1,0,0,
17,2019-11-07,17,34-051,WSH,@,FLA,W,2,1,3,1,0,1,1,0,0,1,0,0,8,25.0,21,20:13,2,0,0,0,
18,2019-11-09,18,34-053,WSH,,VEG,W,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,21,21:21,1,1,0,0,
19,2019-11-11,19,34-055,WSH,,ARI,L-SO,0,1,1,0,0,0,0,0,0,1,0,0,7,0.0,25,25:31,1,0,0,0,
20,2019-11-13,20,34-057,WSH,@,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,24:36,5,2,0,0,
21,2019-11-15,21,34-059,WSH,,MTL,L,1,0,1,-2,0,0,1,0,0,0,0,0,6,16.7,19,19:02,1,0,0,0,
22,2019-11-16,22,34-060,WSH,@,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,21:18,7,0,0,0,
23,2019-11-18,23,34-062,WSH,,ANA,W,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,16,15:59,1,0,0,0,
24,2019-11-20,24,34-064,WSH,@,NYR,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,20,21:10,6,0,0,0,
25,2019-11-23,25,34-067,WSH,,VAN,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,23,21:30,2,0,0,0,
26,2019-11-27,26,34-071,WSH,,FLA,W,1,0,1,0,0,1,0,0,0,0,0,0,5,20.0,23,20:48,0,0,1,0,100.0
27,2019-11-29,27,34-073,WSH,,TBL,W,1,0,1,-1,2,0,1,0,0,0,0,0,7,14.3,23,20:57,6,1,0,0,
28,2019-11-30,28,34-074,WSH,@,DET,W,3,1,4,4,0,3,0,0,0,1,0,0,4,75.0,19,20:33,4,1,0,0,
29,2019-12-03,29,34-077,WSH,@,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,16,20:10,3,0,0,0,
30,2019-12-04,30,34-078,WSH,@,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,20:04,1,0,0,0,
31,2019-12-06,31,34-080,WSH,@,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,20,18:13,2,0,0,0,
32,2019-12-09,32,34-083,WSH,,CBJ,L,1,1,2,0,0,1,0,0,0,1,0,0,6,16.7,19,20:22,9,1,0,0,
33,2019-12-11,33,34-085,WSH,,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,18:59,6,0,0,0,
34,2019-12-14,34,34-088,WSH,@,TBL,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,20,16:16,3,1,0,0,
35,2019-12-16,35,34-090,WSH,@,CBJ,L,0,0,0,-2,0,0,0,0,0,0,0,0,9,0.0,18,24:51,1,0,0,0,
36,2019-12-20,36,34-094,WSH,@,NJD,W,1,1,2,3,0,1,0,0,0,1,0,0,4,25.0,22,19:01,2,0,0,0,
37,2019-12-21,37,34-095,WSH,,TBL,W,0,0,0,-1,2,0,0,0,0,0,0,0,5,0.0,17,17:41,2,0,0,0,
38,2019-12-23,38,34-097,WSH,@,BOS,L,1,0,1,-3,2,1,0,0,0,0,0,0,8,12.5,21,24:39,6,0,0,0,
39,2019-12-27,39,34-101,WSH,,CBJ,W,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,20,21:23,3,0,0,0,
40,2019-12-28,40,34-102,WSH,@,CAR,L,1,0,1,-4,0,0,1,0,0,0,0,0,4,25.0,19,20:19,5,1,0,0,
41,2019-12-31,41,34-105,WSH,,NYI,L,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,17,18:58,1,0,0,0,
42,2020-01-03,42,34-108,WSH,@,CAR,W,0,1,1,-1,2,0,0,0,0,0,1,0,1,0.0,19,18:34,2,1,0,0,
43,2020-01-05,43,34-110,WSH,,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,17:40,1,0,0,0,
44,2020-01-07,44,34-112,WSH,,OTT,W,2,0,2,3,0,2,0,0,0,0,0,0,6,33.3,18,17:15,0,1,0,0,
45,2020-01-08,45,34-113,WSH,@,PHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,20,20:35,4,0,0,0,
46,2020-01-11,46,34-116,WSH,,NJD,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,21,21:43,2,1,0,0,
47,2020-01-13,47,34-118,WSH,,CAR,W,2,0,2,1,0,1,1,0,1,0,0,0,4,50.0,20,21:39,1,0,0,0,
48,2020-01-16,48,34-121,WSH,,NJD,W,3,0,3,0,0,2,1,0,0,0,0,0,5,60.0,18,17:55,0,0,0,0,
49,2020-01-18,49,34-123,WSH,@,NYI,W,3,0,3,4,2,3,0,0,0,0,0,0,3,100.0,25,23:19,4,0,0,0,
50,2020-01-29,50,34-134,WSH,,NSH,L,1,1,2,0,0,1,0,0,0,0,1,0,5,20.0,19,24:27,1,1,0,0,
51,2020-01-31,51,34-136,WSH,@,OTT,W,2,0,2,0,0,1,1,0,0,0,0,0,11,18.2,21,23:00,0,0,0,0,
52,2020-02-02,52,34-138,WSH,,PIT,L,0,0,0,-2,2,0,0,0,0,0,0,0,4,0.0,21,23:15,4,2,0,0,
53,2020-02-04,53,34-140,WSH,,LAK,W,3,0,3,3,0,3,0,0,1,0,0,0,5,60.0,20,18:11,1,0,0,0,
54,2020-02-08,54,34-144,WSH,,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,21:55,4,0,0,0,
55,2020-02-10,55,34-146,WSH,,NYI,L,0,0,0,-4,0,0,0,0,0,0,0,0,6,0.0,22,21:50,3,0,0,0,
56,2020-02-13,56,34-149,WSH,@,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,22,25:48,3,0,0,0,
57,2020-02-15,57,34-151,WSH,@,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,8,0.0,21,23:52,1,0,0,0,
58,2020-02-17,58,34-153,WSH,@,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,22,21:39,5,2,0,0,
59,2020-02-20,59,34-156,WSH,,MTL,L-OT,1,0,1,0,2,1,0,0,0,0,0,0,6,16.7,25,22:31,3,1,0,0,
60,2020-02-22,60,34-158,WSH,@,NJD,L,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,17,23:46,3,1,0,0,
61,2020-02-23,61,34-159,WSH,,PIT,W,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,20,19:00,5,0,0,0,
62,2020-02-25,62,34-161,WSH,,WPG,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,17,19:53,1,1,0,0,
63,2020-02-27,63,34-163,WSH,@,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,21,18:41,2,1,0,0,
64,2020-03-01,64,34-166,WSH,@,MIN,W,2,1,3,2,0,1,1,0,0,1,0,0,4,50.0,24,17:18,1,1,0,0,
65,2020-03-04,65,34-169,WSH,,PHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,20,20:38,3,0,0,0,
66,2020-03-05,66,34-170,WSH,@,NYR,L-OT,2,0,2,-1,0,2,0,0,0,0,0,0,5,40.0,16,14:49,3,0,0,0,
67,2020-03-07,67,34-172,WSH,@,PIT,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,16:34,7,1,0,0,
68,2020-03-09,68,34-174,WSH,@,BUF,L-SO,1,1,2,2,0,1,0,0,0,1,0,0,6,16.7,21,19:24,1,2,0,0,
